Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.845626451398872,0.9078690787191958,0.4181201550387597,0.8156899810964083,0.5528507367072389,0.5094895181239282
Decision Tree,0.8775848722768993,0.7133971660000497,0.47782805429864256,0.499054820415879,0.4882108183079057,0.41885359852382853
kNN,0.8820081831250691,0.7526259657462658,0.49261083743842365,0.2835538752362949,0.3599280143971206,0.31402640166125406
Naive Bayes,0.8643149397323897,0.8231263013234882,0.4330958036421219,0.5170132325141777,0.4713485566566135,0.39624842938239435
Random Forest,0.9048988167643481,0.9272173250174891,0.65814696485623,0.389413988657845,0.48931116389548696,0.45915436558209044
